img,slice,patch,scene,lon,lat
slice_0_img_000.npy,0,0,LE07_149037_20041024,73.23525,32.27401
slice_0_img_001.npy,0,1,LE07_149037_20041024,73.39639,32.27616
slice_0_img_002.npy,0,2,LE07_149037_20041024,73.55755,32.2781
slice_0_img_003.npy,0,3,LE07_149037_20041024,73.71873,32.27984
slice_0_img_004.npy,0,4,LE07_149037_20041024,73.87992,32.28137
slice_0_img_005.npy,0,5,LE07_149037_20041024,74.04112,32.2827
slice_0_img_006.npy,0,6,LE07_149037_20041024,74.20233,32.28382
slice_0_img_007.npy,0,7,LE07_149037_20041024,74.36355,32.28474
slice_0_img_008.npy,0,8,LE07_149037_20041024,74.52477,32.28545
slice_0_img_009.npy,0,9,LE07_149037_20041024,74.686,32.28595
slice_0_img_010.npy,0,10,LE07_149037_20041024,74.84723,32.28625
slice_0_img_011.npy,0,11,LE07_149037_20041024,75.00847,32.28634
slice_0_img_012.npy,0,12,LE07_149037_20041024,75.1697,32.28623
slice_0_img_013.npy,0,13,LE07_149037_20041024,75.33093,32.28591
slice_0_img_014.npy,0,14,LE07_149037_20041024,75.49216,32.28538
slice_0_img_015.npy,0,15,LE07_149037_20041024,73.23259,32.41091
slice_0_img_016.npy,0,16,LE07_149037_20041024,73.39398,32.41307
slice_0_img_017.npy,0,17,LE07_149037_20041024,73.55538,32.41502
slice_0_img_018.npy,0,18,LE07_149037_20041024,73.7168,32.41677
slice_0_img_019.npy,0,19,LE07_149037_20041024,73.87823,32.41831
slice_0_img_020.npy,0,20,LE07_149037_20041024,74.03967,32.41964
slice_0_img_021.npy,0,21,LE07_149037_20041024,74.20112,32.42077
slice_0_img_022.npy,0,22,LE07_149037_20041024,74.36259,32.42169
slice_0_img_023.npy,0,23,LE07_149037_20041024,74.52405,32.4224
slice_0_img_024.npy,0,24,LE07_149037_20041024,74.68553,32.42291
slice_0_img_025.npy,0,25,LE07_149037_20041024,74.847,32.42321
slice_0_img_026.npy,0,26,LE07_149037_20041024,75.00848,32.4233
slice_0_img_027.npy,0,27,LE07_149037_20041024,75.16996,32.42319
slice_0_img_028.npy,0,28,LE07_149037_20041024,75.33143,32.42287
slice_0_img_029.npy,0,29,LE07_149037_20041024,75.4929,32.42234
slice_0_img_030.npy,0,30,LE07_149037_20041024,73.22991,32.5478
slice_0_img_031.npy,0,31,LE07_149037_20041024,73.39154,32.54997
slice_0_img_032.npy,0,32,LE07_149037_20041024,73.55319,32.55194
slice_0_img_033.npy,0,33,LE07_149037_20041024,73.71485,32.55369
slice_0_img_034.npy,0,34,LE07_149037_20041024,73.87653,32.55524
slice_0_img_035.npy,0,35,LE07_149037_20041024,74.03822,32.55658
slice_0_img_036.npy,0,36,LE07_149037_20041024,74.19991,32.55772
slice_0_img_037.npy,0,37,LE07_149037_20041024,74.36162,32.55864
slice_0_img_038.npy,0,38,LE07_149037_20041024,74.52333,32.55936
slice_0_img_039.npy,0,39,LE07_149037_20041024,74.68505,32.55987
slice_0_img_040.npy,0,40,LE07_149037_20041024,74.84677,32.56017
slice_0_img_041.npy,0,41,LE07_149037_20041024,75.00849,32.56026
slice_0_img_042.npy,0,42,LE07_149037_20041024,75.17021,32.56015
slice_0_img_043.npy,0,43,LE07_149037_20041024,75.33193,32.55982
slice_0_img_044.npy,0,44,LE07_149037_20041024,75.49365,32.55929
slice_0_img_045.npy,0,45,LE07_149037_20041024,73.22721,32.68469
slice_0_img_046.npy,0,46,LE07_149037_20041024,73.38909,32.68687
slice_0_img_047.npy,0,47,LE07_149037_20041024,73.55098,32.68885
slice_0_img_048.npy,0,48,LE07_149037_20041024,73.71289,32.69062
slice_0_img_049.npy,0,49,LE07_149037_20041024,73.87482,32.69217
slice_0_img_050.npy,0,50,LE07_149037_20041024,74.03675,32.69352
slice_0_img_051.npy,0,51,LE07_149037_20041024,74.19869,32.69466
slice_0_img_052.npy,0,52,LE07_149037_20041024,74.36065,32.69559
slice_0_img_053.npy,0,53,LE07_149037_20041024,74.52261,32.69631
slice_0_img_054.npy,0,54,LE07_149037_20041024,74.68457,32.69682
