img,zone,slice,scene,lon,lat,glacier_px,debris_px,finite_frac_ch0,finite_frac_ch13
slice_0_img_003.npy,test,0,LE07_149037_20041024,73.71873,32.27984,0,0,0.8711,1.0
slice_0_img_004.npy,test,0,LE07_149037_20041024,73.87992,32.28137,0,0,0.6946,1.0
slice_0_img_009.npy,invalid,0,LE07_149037_20041024,74.686,32.28595,0,0,0.0,1.0
slice_0_img_015.npy,invalid,0,LE07_149037_20041024,73.23259,32.41091,0,0,0.0,1.0
slice_0_img_016.npy,invalid,0,LE07_149037_20041024,73.39398,32.41307,0,0,0.0,1.0
slice_0_img_020.npy,test,0,LE07_149037_20041024,74.03967,32.41964,0,0,1.0,1.0
slice_0_img_022.npy,test,0,LE07_149037_20041024,74.36259,32.42169,319,0,1.0,1.0
slice_0_img_023.npy,test,0,LE07_149037_20041024,74.52405,32.4224,17,0,0.9689,1.0
slice_0_img_031.npy,invalid,0,LE07_149037_20041024,73.39154,32.54997,0,0,0.0,1.0
slice_0_img_034.npy,test,0,LE07_149037_20041024,73.87653,32.55524,0,0,1.0,1.0
slice_0_img_037.npy,test,0,LE07_149037_20041024,74.36162,32.55864,43,0,1.0,1.0
slice_0_img_038.npy,test,0,LE07_149037_20041024,74.52333,32.55936,2130,482,1.0,1.0
slice_0_img_041.npy,train,0,LE07_149037_20041024,75.00849,32.56026,0,0,1.0,1.0
slice_0_img_043.npy,train,0,LE07_149037_20041024,75.33193,32.55982,0,0,1.0,1.0
slice_0_img_053.npy,test,0,LE07_149037_20041024,74.52261,32.69631,3397,0,1.0,1.0
slice_0_img_056.npy,train,0,LE07_149037_20041024,75.0085,32.69722,0,0,1.0,1.0
slice_0_img_063.npy,test,0,LE07_149037_20041024,73.71092,32.82753,0,0,1.0,1.0
slice_0_img_066.npy,test,0,LE07_149037_20041024,74.19747,32.8316,0,0,1.0,1.0
slice_0_img_067.npy,test,0,LE07_149037_20041024,74.35967,32.83253,0,0,1.0,1.0
slice_0_img_068.npy,test,0,LE07_149037_20041024,74.52187,32.83326,198,0,1.0,1.0
slice_0_img_069.npy,dropped_straddler,0,LE07_149037_20041024,74.68409,32.83377,5722,0,1.0,1.0
slice_0_img_070.npy,buffer_removed,0,LE07_149037_20041024,74.8463,32.83408,8152,969,1.0,1.0
slice_0_img_073.npy,train,0,LE07_149037_20041024,75.33295,32.83373,0,0,1.0,1.0
slice_0_img_076.npy,test,0,LE07_149037_20041024,73.38414,32.96067,0,0,0.4796,1.0
slice_0_img_077.npy,test,0,LE07_149037_20041024,73.54653,32.96267,0,0,1.0,1.0
slice_0_img_078.npy,test,0,LE07_149037_20041024,73.70894,32.96445,0,0,1.0,1.0
slice_0_img_081.npy,test,0,LE07_149037_20041024,74.19623,32.96854,0,0,1.0,1.0
slice_0_img_082.npy,test,0,LE07_149037_20041024,74.35868,32.96948,0,0,1.0,1.0
